date,hour,category,item,qty,unit_price,weather,event,notes
2024-09-07,08,beverage,drip_coffee,28,2.45,clear,Club_5k,early runners
2024-09-07,08,beverage,latte,16,3.95,clear,Club_5k,
2024-09-07,08,pastry,croissant,12,2.70,clear,Club_5k,
2024-09-07,08,pastry,blueberry_muffin,10,2.45,clear,Club_5k,
2024-09-07,08,beverage,iced_coffee,9,2.95,clear,Club_5k,
2024-09-07,09,beverage,drip_coffee,34,2.45,clear,Club_5k,peak post race
2024-09-07,09,beverage,latte,20,3.95,clear,Club_5k,
2024-09-07,09,beverage,cappuccino,9,3.70,clear,Club_5k,
2024-09-07,09,pastry,croissant,15,2.70,clear,Club_5k,
2024-09-07,09,pastry,chocolate_chip_cookie,9,1.95,clear,Club_5k,
2024-09-07,10,beverage,drip_coffee,26,2.45,clear,None,
2024-09-07,10,beverage,latte,18,3.95,clear,None,
2024-09-07,10,beverage,chai_latte,7,3.45,clear,None,
2024-09-07,10,pastry,croissant,10,2.70,clear,None,
2024-09-07,10,pastry,banana_bread,8,2.70,clear,None,
2024-09-07,11,beverage,iced_coffee,15,2.95,clear,None,
2024-09-07,11,beverage,drip_coffee,21,2.45,clear,None,
2024-09-07,11,food,breakfast_burrito,8,5.45,clear,None,
2024-09-07,11,food,ham_panini,6,6.45,clear,None,
2024-09-07,11,pastry,brownie,6,2.20,clear,None,
2024-09-07,12,food,veggie_panini,9,6.20,clear,None,lunch start
2024-09-07,12,food,grilled_cheese,7,5.65,clear,None,
2024-09-07,12,beverage,latte,14,3.95,clear,None,
2024-09-07,12,beverage,iced_tea,10,2.70,clear,None,
2024-09-07,12,pastry,chocolate_chip_cookie,8,1.95,clear,None,
2024-09-07,13,food,ham_panini,9,6.45,clear,None,lunch peak
2024-09-07,13,food,veggie_panini,10,6.20,clear,None,
2024-09-07,13,beverage,iced_coffee,17,2.95,clear,None,
2024-09-07,13,beverage,lemonade,9,2.95,clear,None,
2024-09-07,13,pastry,brownie,7,2.20,clear,None,
2024-09-07,14,food,grilled_cheese,8,5.65,clear,None,
2024-09-07,14,food,caesar_salad,6,6.70,clear,None,
2024-09-07,14,beverage,iced_tea,12,2.70,clear,None,
2024-09-07,14,beverage,latte,11,3.95,clear,None,
2024-09-07,14,pastry,blueberry_muffin,6,2.45,clear,None,
2024-09-07,15,beverage,drip_coffee,14,2.45,clear,None,afternoon dip
2024-09-07,15,beverage,iced_coffee,12,2.95,clear,None,
2024-09-07,15,beverage,chai_latte,6,3.45,clear,None,
2024-09-07,15,pastry,croissant,5,2.70,clear,None,
2024-09-07,15,food,grilled_cheese,5,5.65,clear,None,
2024-09-08,08,beverage,drip_coffee,24,2.45,cloudy,None,slower
2024-09-08,08,beverage,latte,14,3.95,cloudy,None,
2024-09-08,08,pastry,croissant,10,2.70,cloudy,None,
2024-09-08,08,pastry,blueberry_muffin,8,2.45,cloudy,None,
2024-09-08,08,beverage,iced_coffee,7,2.95,cloudy,None,
2024-09-08,09,beverage,drip_coffee,28,2.45,cloudy,None,
2024-09-08,09,beverage,latte,16,3.95,cloudy,None,
2024-09-08,09,beverage,cappuccino,8,3.70,cloudy,None,
2024-09-08,09,pastry,croissant,12,2.70,cloudy,None,
2024-09-08,09,pastry,chocolate_chip_cookie,7,1.95,cloudy,None,
2024-09-08,10,beverage,drip_coffee,22,2.45,cloudy,None,
2024-09-08,10,beverage,latte,16,3.95,cloudy,None,
2024-09-08,10,beverage,chai_latte,6,3.45,cloudy,None,
2024-09-08,10,pastry,banana_bread,7,2.70,cloudy,None,
2024-09-08,10,pastry,croissant,8,2.70,cloudy,None,
2024-09-08,11,food,breakfast_burrito,7,5.45,cloudy,None,
2024-09-08,11,beverage,drip_coffee,18,2.45,cloudy,None,
2024-09-08,11,beverage,iced_coffee,10,2.95,cloudy,None,
2024-09-08,11,food,ham_panini,5,6.45,cloudy,None,
2024-09-08,11,pastry,brownie,6,2.20,cloudy,None,
2024-09-08,12,food,veggie_panini,7,6.20,cloudy,None,lunch start
2024-09-08,12,food,grilled_cheese,6,5.65,cloudy,None,
2024-09-08,12,beverage,iced_tea,9,2.70,cloudy,None,
2024-09-08,12,beverage,latte,12,3.95,cloudy,None,
2024-09-08,12,pastry,chocolate_chip_cookie,6,1.95,cloudy,None,
2024-09-08,13,food,ham_panini,7,6.45,cloudy,None,
2024-09-08,13,food,veggie_panini,8,6.20,cloudy,None,
2024-09-08,13,beverage,iced_coffee,12,2.95,cloudy,None,
2024-09-08,13,beverage,lemonade,7,2.95,cloudy,None,
2024-09-08,13,pastry,brownie,5,2.20,cloudy,None,
2024-09-08,14,food,grilled_cheese,6,5.65,cloudy,None,
2024-09-08,14,food,caesar_salad,5,6.70,cloudy,None,
2024-09-08,14,beverage,iced_tea,9,2.70,cloudy,None,
2024-09-08,14,beverage,latte,9,3.95,cloudy,None,
2024-09-08,14,pastry,blueberry_muffin,4,2.45,cloudy,None,
2024-09-08,15,beverage,drip_coffee,12,2.45,cloudy,None,closeout
2024-09-08,15,beverage,iced_coffee,9,2.95,cloudy,None,
2024-09-08,15,beverage,chai_latte,5,3.45,cloudy,None,
2024-09-08,15,pastry,croissant,4,2.70,cloudy,None,low waste
2024-09-08,15,food,grilled_cheese,4,5.65,cloudy,None,
