date,scenario,stream,units,price,variable_cost_per_unit,fixed_cost,marketing_spend,payroll,capex,notes
2025-01,Base,SaaS_Subscriptions,118,29,6,8000,2350,17500,0,Baseline
2025-01,Base,Implementation_Services,7,760,220,8000,2350,17500,0,Onboarding
2025-01,Base,Support_Addons,21,9,2,8000,2350,17500,0,Support
2025-01,Optimistic,SaaS_Subscriptions,142,29,6,8000,2950,18000,0,Upside
2025-01,Optimistic,Implementation_Services,9,760,220,8000,2950,18000,0,Extra
2025-01,Optimistic,Support_Addons,29,9,2,8000,2950,18000,0,Attach
2025-01,Pessimistic,SaaS_Subscriptions,90,29,6,8000,1700,17000,0,Slow
2025-01,Pessimistic,Implementation_Services,5,760,220,8000,1700,17000,0,Low
2025-01,Pessimistic,Support_Addons,15,9,2,8000,1700,17000,0,Attach
2025-02,Base,SaaS_Subscriptions,130,29,6,8000,2450,17750,0,Steady
2025-02,Base,Implementation_Services,8,760,220,8000,2450,17750,0,Impl.
2025-02,Base,Support_Addons,24,9,2,8000,2450,17750,0,Support
2025-02,Optimistic,SaaS_Subscriptions,156,29,6,8000,3050,18300,0,Word of mouth
2025-02,Optimistic,Implementation_Services,11,760,220,8000,3050,18300,0,Extra
2025-02,Optimistic,Support_Addons,34,9,2,8000,3050,18300,0,Attach
2025-02,Pessimistic,SaaS_Subscriptions,98,29,6,8000,1800,17400,0,Churn
2025-02,Pessimistic,Implementation_Services,6,760,220,8000,1800,17400,0,Low
2025-02,Pessimistic,Support_Addons,18,9,2,8000,1800,17400,0,Attach
2025-03,Base,SaaS_Subscriptions,150,29,6,8200,2600,18000,0,Spring
2025-03,Base,Implementation_Services,9,760,220,8200,2600,18000,0,Impl.
2025-03,Base,Support_Addons,27,9,2,8200,2600,18000,0,Support
2025-03,Optimistic,SaaS_Subscriptions,178,29,6,8200,3200,18550,0,Campaign
2025-03,Optimistic,Implementation_Services,12,760,220,8200,3200,18550,0,Extra
2025-03,Optimistic,Support_Addons,40,9,2,8200,3200,18550,0,Attach
2025-03,Pessimistic,SaaS_Subscriptions,115,29,6,8200,1900,17600,0,Soft
2025-03,Pessimistic,Implementation_Services,7,760,220,8200,1900,17600,0,Low
2025-03,Pessimistic,Support_Addons,20,9,2,8200,1900,17600,0,Attach
2025-04,Base,SaaS_Subscriptions,162,29,6,8200,2650,18000,1200,Steady
2025-04,Base,Implementation_Services,10,775,225,8200,2650,18000,1200,Impl.
2025-04,Base,Support_Addons,30,9,2,8200,2650,18000,1200,Support
2025-04,Optimistic,SaaS_Subscriptions,195,29,6,8200,3350,18600,1200,Upside
2025-04,Optimistic,Implementation_Services,13,775,225,8200,3350,18600,1200,Extra
2025-04,Optimistic,Support_Addons,44,9,2,8200,3350,18600,1200,Attach
2025-04,Pessimistic,SaaS_Subscriptions,128,29,6,8200,2000,17700,1200,Soft
2025-04,Pessimistic,Implementation_Services,8,775,225,8200,2000,17700,1200,Low
2025-04,Pessimistic,Support_Addons,22,9,2,8200,2000,17700,1200,Attach
2025-05,Base,SaaS_Subscriptions,175,29,6,8400,2750,18150,0,Release
2025-05,Base,Implementation_Services,11,795,230,8400,2750,18150,0,Impl.
2025-05,Base,Support_Addons,32,9,2,8400,2750,18150,0,Support
2025-05,Optimistic,SaaS_Subscriptions,210,29,6,8400,3450,18750,0,Strong
2025-05,Optimistic,Implementation_Services,14,795,230,8400,3450,18750,0,Extra
2025-05,Optimistic,Support_Addons,48,9,2,8400,3450,18750,0,Attach
2025-05,Pessimistic,SaaS_Subscriptions,135,29,6,8400,2050,17850,0,Soft
2025-05,Pessimistic,Implementation_Services,9,795,230,8400,2050,17850,0,Low
2025-05,Pessimistic,Support_Addons,24,9,2,8400,2050,17850,0,Attach
2025-06,Base,SaaS_Subscriptions,188,29,6,8400,2850,18250,900,Summer
2025-06,Base,Implementation_Services,12,800,232,8400,2850,18250,900,Impl.
2025-06,Base,Support_Addons,34,9,2,8400,2850,18250,900,Support
2025-06,Optimistic,SaaS_Subscriptions,228,29,6,8400,3550,18850,900,Upside
2025-06,Optimistic,Implementation_Services,16,800,232,8400,3550,18850,900,Extra
2025-06,Optimistic,Support_Addons,52,9,2,8400,3550,18850,900,Attach
2025-06,Pessimistic,SaaS_Subscriptions,145,29,6,8400,2100,17950,900,Soft
2025-06,Pessimistic,Implementation_Services,10,800,232,8400,2100,17950,900,Low
2025-06,Pessimistic,Support_Addons,26,9,2,8400,2100,17950,900,Attach
2025-07,Base,SaaS_Subscriptions,198,29,6,8600,3000,18400,0,Steady
2025-07,Base,Implementation_Services,12,815,235,8600,3000,18400,0,Impl.
2025-07,Base,Support_Addons,36,9,2,8600,3000,18400,0,Support
