Date,AccountID,AccountName,StatementLine,Category,Amount,Method,Scenario,Notes
2025-01-02,REV100,Website Project A,Revenue,Revenue,2500,Accrual,Base,New client project billed
2025-01-03,AR001,Accounts Receivable,Balance Sheet,Asset,2500,Accrual,Base,Invoice issued net 15
2025-01-05,COG200,Contractor Fees,COGS,COGS,-980,Accrual,Base,Subcontractor for project A
2025-01-07,OPE300,Software Subscriptions,Operating Expenses,OpEx,-125,Accrual,Base,Monthly SaaS tools
2025-01-08,OPE310,Marketing Spend,Operating Expenses,OpEx,-255,Accrual,Base,Ad campaign
2025-01-09,REV110,SEO Package A,Revenue,Revenue,1180,Accrual,Base,SEO engagement billed
2025-01-10,BNK001,Bank Deposit,Cash Flow,Other,3100,Accrual,Base,Partial cash collection from AR
2025-01-11,AR001,Accounts Receivable,Balance Sheet,Asset,-3100,Accrual,Base,Collection from customers
2025-01-12,COG210,Design Subcontract,COGS,COGS,-445,Accrual,Base,Design assistance
2025-01-13,OPE320,Office Supplies,Operating Expenses,OpEx,-95,Accrual,Base,Basic supplies
2025-01-14,OPE330,Team Training,Operating Expenses,OpEx,-210,Accrual,Base,Upskilling session
2025-01-15,REV120,Social Setup A,Revenue,Revenue,700,Accrual,Base,Social media package
2025-01-16,ADJ001,Depreciation Expense,Operating Expenses,OpEx,-155,NonCash,Base,Non‑cash monthly depreciation
2025-01-16,ADJ101,Accumulated Depreciation,Balance Sheet,ContraAsset,155,NonCash,Base,Pairs with depreciation expense
2025-01-18,REV130,Maintenance Plan A,Revenue,Revenue,335,Accrual,Stretch,Recurring support upsell
2025-01-20,OPE340,Rent,Operating Expenses,OpEx,-920,Accrual,Base,Office lease
2025-01-22,HR500,Payroll,Operating Expenses,OpEx,-2250,Accrual,Base,Salaries and wages
2025-01-23,TXP100,Payroll Taxes,Operating Expenses,OpEx,-285,Accrual,Base,Employer payroll taxes
2025-01-25,BNK002,Bank Fees,Operating Expenses,OpEx,-27,Accrual,Base,Service charges
2025-01-26,REV140,Custom Feature A,Revenue,Revenue,1800,Accrual,Conservative,Feature add-on billed
