date,scenario,stream,units,price,variable_cost_per_unit,fixed_cost,marketing_spend,payroll,capex,notes
2025-01,Base,SaaS_Subscriptions,115,28,5.5,8100,2300,17600,0,Baseline
2025-01,Base,Implementation_Services,7,740,215,8100,2300,17600,0,Onboarding
2025-01,Base,Support_Addons,22,9,2,8100,2300,17600,0,Support
2025-01,Optimistic,SaaS_Subscriptions,140,28,5.5,8100,2900,18100,0,Upside
2025-01,Optimistic,Implementation_Services,9,740,215,8100,2900,18100,0,Extra
2025-01,Optimistic,Support_Addons,30,9,2,8100,2900,18100,0,Attach
2025-01,Pessimistic,SaaS_Subscriptions,88,28,5.5,8100,1650,17100,0,Slow
2025-01,Pessimistic,Implementation_Services,5,740,215,8100,1650,17100,0,Low
2025-01,Pessimistic,Support_Addons,15,9,2,8100,1650,17100,0,Attach
2025-02,Base,SaaS_Subscriptions,130,28,5.5,8100,2400,17800,0,Steady
2025-02,Base,Implementation_Services,8,740,215,8100,2400,17800,0,Impl.
2025-02,Base,Support_Addons,25,9,2,8100,2400,17800,0,Support
2025-02,Optimistic,SaaS_Subscriptions,155,28,5.5,8100,3000,18350,0,Word of mouth
2025-02,Optimistic,Implementation_Services,11,740,215,8100,3000,18350,0,Extra
2025-02,Optimistic,Support_Addons,35,9,2,8100,3000,18350,0,Attach
2025-02,Pessimistic,SaaS_Subscriptions,98,28,5.5,8100,1800,17400,0,Churn
2025-02,Pessimistic,Implementation_Services,6,740,215,8100,1800,17400,0,Low
2025-02,Pessimistic,Support_Addons,18,9,2,8100,1800,17400,0,Attach
2025-03,Base,SaaS_Subscriptions,148,28,5.5,8300,2550,18050,0,Spring push
2025-03,Base,Implementation_Services,9,740,215,8300,2550,18050,0,Impl.
2025-03,Base,Support_Addons,27,9,2,8300,2550,18050,0,Support
2025-03,Optimistic,SaaS_Subscriptions,175,28,5.5,8300,3150,18550,0,Campaign
2025-03,Optimistic,Implementation_Services,12,740,215,8300,3150,18550,0,Extra
2025-03,Optimistic,Support_Addons,39,9,2,8300,3150,18550,0,Attach
2025-03,Pessimistic,SaaS_Subscriptions,112,28,5.5,8300,1900,17650,0,Soft
2025-03,Pessimistic,Implementation_Services,7,740,215,8300,1900,17650,0,Low
2025-03,Pessimistic,Support_Addons,20,9,2,8300,1900,17650,0,Attach
2025-04,Base,SaaS_Subscriptions,160,28,5.5,8300,2600,18050,1000,Steady
2025-04,Base,Implementation_Services,10,755,220,8300,2600,18050,1000,Impl.
2025-04,Base,Support_Addons,30,9,2,8300,2600,18050,1000,Support
2025-04,Optimistic,SaaS_Subscriptions,192,28,5.5,8300,3250,18650,1000,Upside
2025-04,Optimistic,Implementation_Services,13,755,220,8300,3250,18650,1000,Extra
2025-04,Optimistic,Support_Addons,43,9,2,8300,3250,18650,1000,Attach
2025-04,Pessimistic,SaaS_Subscriptions,125,28,5.5,8300,1950,17700,1000,Soft
2025-04,Pessimistic,Implementation_Services,8,755,220,8300,1950,17700,1000,Low
2025-04,Pessimistic,Support_Addons,22,9,2,8300,1950,17700,1000,Attach
2025-05,Base,SaaS_Subscriptions,172,28,5.5,8500,2700,18200,0,Release
2025-05,Base,Implementation_Services,11,790,225,8500,2700,18200,0,Impl.
2025-05,Base,Support_Addons,32,9,2,8500,2700,18200,0,Support
2025-05,Optimistic,SaaS_Subscriptions,208,28,5.5,8500,3400,18800,0,Strong
2025-05,Optimistic,Implementation_Services,14,790,225,8500,3400,18800,0,Extra
2025-05,Optimistic,Support_Addons,46,9,2,8500,3400,18800,0,Attach
2025-05,Pessimistic,SaaS_Subscriptions,135,28,5.5,8500,2000,17800,0,Soft
2025-05,Pessimistic,Implementation_Services,9,790,225,8500,2000,17800,0,Low
2025-05,Pessimistic,Support_Addons,24,9,2,8500,2000,17800,0,Attach
2025-06,Base,SaaS_Subscriptions,185,28,5.5,8500,2800,18300,700,Summer
2025-06,Base,Implementation_Services,12,795,228,8500,2800,18300,700,Impl.
2025-06,Base,Support_Addons,34,9,2,8500,2800,18300,700,Support
2025-06,Optimistic,SaaS_Subscriptions,225,28,5.5,8500,3500,18900,700,Upside
2025-06,Optimistic,Implementation_Services,15,795,228,8500,3500,18900,700,Extra
2025-06,Optimistic,Support_Addons,52,9,2,8500,3500,18900,700,Attach
2025-06,Pessimistic,SaaS_Subscriptions,142,28,5.5,8500,2050,17900,700,Soft
2025-06,Pessimistic,Implementation_Services,10,795,228,8500,2050,17900,700,Low
2025-06,Pessimistic,Support_Addons,26,9,2,8500,2050,17900,700,Attach
2025-07,Base,SaaS_Subscriptions,195,28,5.5,8700,2950,18450,0,Steady
2025-07,Base,Implementation_Services,12,810,230,8700,2950,18450,0,Impl.
2025-07,Base,Support_Addons,36,9,2,8700,2950,18450,0,Support
2025-07,Optimistic,SaaS_Subscriptions,240,28,5.5,8700,3650,19000,0,Upside
2025-07,Optimistic,Implementation_Services,16,810,230,8700,3650,19000,0,Extra
2025-07,Optimistic,Support_Addons,55,9,2,8700,3650,19000,0,Attach
2025-07,Pessimistic,SaaS_Subscriptions,150,28,5.5,8700,2150,18000,0,Soft
2025-07,Pessimistic,Implementation_Services,10,810,230,8700,2150,18000,0,Low
2025-07,Pessimistic,Support_Addons,27,9,2,8700,2150,18000,0,Attach
2025-08,Base,SaaS_Subscriptions,205,28,5.5,8700,3000,18450,0,Steady
2025-08,Base,Implementation_Services,13,820,235,8700,3000,18450,0,Impl.
2025-08,Base,Support_Addons,38,9,2,8700,3000,18450,0,Support
2025-08,Optimistic,SaaS_Subscriptions,250,28,5.5,8700,3700,19100,0,Upside
2025-08,Optimistic,Implementation_Services,17,820,235,8700,3700,19100,0,Extra
2025-08,Optimistic,Support_Addons,58,9,2,8700,3700,19100,0,Attach
2025-08,Pessimistic,SaaS_Subscriptions,152,28,5.5,8700,2200,18100,0,Soft
2025-08,Pessimistic,Implementation_Services,11,820,235,8700,2200,18100,0,Low
2025-08,Pessimistic,Support_Addons,28,9,2,8700,2200,18100,0,Attach
2025-09,Base,SaaS_Subscriptions,215,28,5.5,8900,3050,18600,0,Seasonal
2025-09,Base,Implementation_Services,14,835,238,8900,3050,18600,0,Impl.
2025-09,Base,Support_Addons,40,9,2,8900,3050,18600,0,Support
2025-09,Optimistic,SaaS_Subscriptions,260,28,5.5,8900,3750,19200,0,Upside
2025-09,Optimistic,Implementation_Services,18,835,238,8900,3750,19200,0,Extra
2025-09,Optimistic,Support_Addons,60,9,2,8900,3750,19200,0,Attach
2025-09,Pessimistic,SaaS_Subscriptions,158,28,5.5,8900,2250,18200,0,Soft
2025-09,Pessimistic,Implementation_Services,11,835,238,8900,2250,18200,0,Low
2025-09,Pessimistic,Support_Addons,29,9,2,8900,2250,18200,0,Attach
2025-10,Base,SaaS_Subscriptions,225,28,5.5,8900,3150,18600,0,Pre‑holiday
2025-10,Base,Implementation_Services,14,840,240,8900,3150,18600,0,Impl.
2025-10,Base,Support_Addons,42,9,2,8900,3150,18600,0,Support
2025-10,Optimistic,SaaS_Subscriptions,275,28,5.5,8900,3850,19250,0,Upside
2025-10,Optimistic,Implementation_Services,19,840,240,8900,3850,19250,0,Extra
2025-10,Optimistic,Support_Addons,62,9,2,8900,3850,19250,0,Attach
2025-10,Pessimistic,SaaS_Subscriptions,162,28,5.5,8900,2300,18300,0,Soft
2025-10,Pessimistic,Implementation_Services,12,840,240,8900,2300,18300,0,Low
2025-10,Pessimistic,Support_Addons,30,9,2,8900,2300,18300,0,Attach
