date,sku,product,channel,price,competitor_price,units_sold,variable_cost_per_unit,fixed_cost_alloc,promo,notes
2024-01-05,S1,Starter Pack,online,34.20,32.20,57,18.10,510,false,Launch week
2024-01-05,S2,Starter Pack,retail,35.20,33.20,45,18.60,510,false,Strong foot traffic
2024-01-05,S3,Pro Kit,online,49.20,47.20,40,26.10,510,false,
2024-01-05,S4,Pro Kit,retail,50.20,48.20,36,26.60,510,false,
2024-01-05,S5,Deluxe Bundle,online,62.20,60.20,27,33.10,510,false,
2024-01-05,S6,Deluxe Bundle,retail,63.20,61.20,24,33.60,510,false,
2024-01-05,S7,Starter Pack,wholesale,30.20,29.20,118,17.60,510,false,Bulk order
2024-01-05,S8,Pro Kit,wholesale,45.20,44.20,84,25.60,510,false,Bulk order
2024-01-05,S9,Deluxe Bundle,wholesale,58.20,57.20,63,32.60,510,false,Bulk order
2024-01-05,S10,Accessory Set,online,19.20,18.20,74,9.60,510,false,Attach rate baseline
2024-01-12,S1,Starter Pack,online,34.20,32.70,60,18.10,510,false,
2024-01-12,S2,Starter Pack,retail,35.20,33.70,46,18.60,510,false,
2024-01-12,S3,Pro Kit,online,49.20,47.70,42,26.10,510,false,
2024-01-12,S4,Pro Kit,retail,50.20,48.70,37,26.60,510,false,
2024-01-12,S5,Deluxe Bundle,online,62.20,60.70,29,33.10,510,false,
2024-01-12,S6,Deluxe Bundle,retail,63.20,61.70,25,33.60,510,false,
2024-01-12,S7,Starter Pack,wholesale,30.20,29.70,116,17.60,510,false,Bulk reorder
2024-01-12,S8,Pro Kit,wholesale,45.20,44.70,83,25.60,510,false,Bulk reorder
2024-01-12,S9,Deluxe Bundle,wholesale,58.20,57.70,62,32.60,510,false,Bulk reorder
2024-01-12,S10,Accessory Set,online,19.20,18.70,76,9.60,510,false,Attachment up
2024-01-19,S1,Starter Pack,online,35.20,33.20,61,18.10,510,false,Price test
2024-01-19,S2,Starter Pack,retail,36.20,34.20,44,18.60,510,false,
2024-01-19,S3,Pro Kit,online,50.20,47.20,39,26.10,510,false,
2024-01-19,S4,Pro Kit,retail,51.20,48.20,35,26.60,510,false,
2024-01-19,S5,Deluxe Bundle,online,63.20,60.20,26,33.10,510,false,
2024-01-19,S6,Deluxe Bundle,retail,64.20,61.20,23,33.60,510,false,
2024-01-19,S7,Starter Pack,wholesale,30.20,29.20,119,17.60,510,false,
2024-01-19,S8,Pro Kit,wholesale,45.20,44.20,82,25.60,510,false,
2024-01-19,S9,Deluxe Bundle,wholesale,58.20,57.20,64,32.60,510,false,
2024-01-19,S10,Accessory Set,online,19.20,18.20,78,9.60,510,false,
2024-01-26,S1,Starter Pack,online,35.20,33.45,59,18.10,510,false,
2024-01-26,S2,Starter Pack,retail,36.20,34.45,45,18.60,510,false,
2024-01-26,S3,Pro Kit,online,50.20,47.45,38,26.10,510,false,
2024-01-26,S4,Pro Kit,retail,51.20,48.45,34,26.60,510,false,
2024-01-26,S5,Deluxe Bundle,online,63.20,60.45,25,33.10,510,false,
2024-01-26,S6,Deluxe Bundle,retail,64.20,61.45,22,33.60,510,false,
2024-01-26,S7,Starter Pack,wholesale,30.20,29.45,117,17.60,510,false,
2024-01-26,S8,Pro Kit,wholesale,45.20,44.45,81,25.60,510,false,
2024-01-26,S9,Deluxe Bundle,wholesale,58.20,57.45,63,32.60,510,false,
2024-01-26,S10,Accessory Set,online,19.20,18.45,75,9.60,510,false,
2024-02-02,S1,Starter Pack,online,34.20,33.20,62,18.10,510,false,Revert test
2024-02-02,S2,Starter Pack,retail,35.20,34.20,47,18.60,510,false,
2024-02-02,S3,Pro Kit,online,49.20,47.20,41,26.10,510,false,
2024-02-02,S4,Pro Kit,retail,50.20,48.20,36,26.60,510,false,
2024-02-02,S5,Deluxe Bundle,online,62.20,60.20,28,33.10,510,false,
2024-02-02,S6,Deluxe Bundle,retail,63.20,61.20,24,33.60,510,false,
2024-02-02,S7,Starter Pack,wholesale,30.20,29.20,121,17.60,510,false,
2024-02-02,S8,Pro Kit,wholesale,45.20,44.20,85,25.60,510,false,
2024-02-02,S9,Deluxe Bundle,wholesale,58.20,57.20,66,32.60,510,false,
2024-02-02,S10,Accessory Set,online,19.20,18.20,79,9.60,510,false,
2024-02-09,S1,Starter Pack,online,34.20,32.95,63,18.10,510,false,
2024-02-09,S2,Starter Pack,retail,35.20,33.95,48,18.60,510,false,
2024-02-09,S3,Pro Kit,online,49.20,47.45,43,26.10,510,false,
2024-02-09,S4,Pro Kit,retail,50.20,48.45,37,26.60,510,false,
2024-02-09,S5,Deluxe Bundle,online,62.20,60.45,30,33.10,510,false,
2024-02-09,S6,Deluxe Bundle,retail,63.20,61.45,25,33.60,510,false,
2024-02-09,S7,Starter Pack,wholesale,30.20,29.45,118,17.60,510,false,
2024-02-09,S8,Pro Kit,wholesale,45.20,44.45,84,25.60,510,false,
2024-02-09,S9,Deluxe Bundle,wholesale,58.20,57.45,65,32.60,510,false,
2024-02-09,S10,Accessory Set,online,19.20,18.45,81,9.60,510,false,
2024-02-16,S1,Starter Pack,online,33.70,32.70,66,18.10,510,true,Valentine promo
2024-02-16,S2,Starter Pack,retail,34.70,33.70,52,18.60,510,true,Valentine promo
2024-02-16,S3,Pro Kit,online,48.20,47.20,46,26.10,510,true,Limited discount
2024-02-16,S4,Pro Kit,retail,49.20,48.20,40,26.60,510,true,Limited discount
2024-02-16,S5,Deluxe Bundle,online,61.20,60.20,32,33.10,510,true,Limited discount
2024-02-16,S6,Deluxe Bundle,retail,62.20,61.20,27,33.60,510,true,Limited discount
2024-02-16,S7,Starter Pack,wholesale,29.70,29.20,124,17.60,510,false,Bulk order
2024-02-16,S8,Pro Kit,wholesale,44.70,44.20,89,25.60,510,false,Bulk order
2024-02-16,S9,Deluxe Bundle,wholesale,57.70,57.20,69,32.60,510,false,Bulk order
2024-02-16,S10,Accessory Set,online,18.70,18.20,85,9.60,510,true,Promo add‑on
2024-02-23,S1,Starter Pack,online,34.20,33.45,64,18.10,510,false,
2024-02-23,S2,Starter Pack,retail,35.20,34.45,50,18.60,510,false,
2024-02-23,S3,Pro Kit,online,49.20,47.45,45,26.10,510,false,
2024-02-23,S4,Pro Kit,retail,50.20,48.45,39,26.60,510,false,
2024-02-23,S5,Deluxe Bundle,online,62.20,60.45,31,33.10,510,false,
2024-02-23,S6,Deluxe Bundle,retail,63.20,61.45,26,33.60,510,false,
2024-02-23,S7,Starter Pack,wholesale,30.20,29.45,121,17.60,510,false,
2024-02-23,S8,Pro Kit,wholesale,45.20,44.45,86,25.60,510,false,
