date,scenario,stream,units,price,variable_cost_per_unit,fixed_cost,marketing_spend,payroll,capex,notes
2025-01,Base,SaaS_Subscriptions,112,27,5.5,7900,2200,17200,0,Baseline
2025-01,Base,Implementation_Services,6,730,210,7900,2200,17200,0,Onboarding
2025-01,Base,Support_Addons,20,8,1.8,7900,2200,17200,0,Support
2025-01,Optimistic,SaaS_Subscriptions,135,27,5.5,7900,2800,17700,0,Upside
2025-01,Optimistic,Implementation_Services,8,730,210,7900,2800,17700,0,Extra
2025-01,Optimistic,Support_Addons,27,8,1.8,7900,2800,17700,0,Attach
2025-01,Pessimistic,SaaS_Subscriptions,85,27,5.5,7900,1600,16800,0,Slow
2025-01,Pessimistic,Implementation_Services,4,730,210,7900,1600,16800,0,Low
2025-01,Pessimistic,Support_Addons,14,8,1.8,7900,1600,16800,0,Attach
2025-02,Base,SaaS_Subscriptions,125,27,5.5,7900,2300,17450,0,Steady
2025-02,Base,Implementation_Services,7,730,210,7900,2300,17450,0,Impl.
2025-02,Base,Support_Addons,22,8,1.8,7900,2300,17450,0,Support
2025-02,Optimistic,SaaS_Subscriptions,150,27,5.5,7900,2900,18000,0,Word of mouth
2025-02,Optimistic,Implementation_Services,10,730,210,7900,2900,18000,0,Extra
2025-02,Optimistic,Support_Addons,32,8,1.8,7900,2900,18000,0,Attach
2025-02,Pessimistic,SaaS_Subscriptions,95,27,5.5,7900,1750,17100,0,Churn
2025-02,Pessimistic,Implementation_Services,5,730,210,7900,1750,17100,0,Low
2025-02,Pessimistic,Support_Addons,16,8,1.8,7900,1750,17100,0,Attach
2025-03,Base,SaaS_Subscriptions,142,27,5.5,8050,2450,17700,0,Spring
2025-03,Base,Implementation_Services,8,730,210,8050,2450,17700,0,Impl.
2025-03,Base,Support_Addons,25,8,1.8,8050,2450,17700,0,Support
2025-03,Optimistic,SaaS_Subscriptions,170,27,5.5,8050,3050,18200,0,Campaign
2025-03,Optimistic,Implementation_Services,11,730,210,8050,3050,18200,0,Extra
2025-03,Optimistic,Support_Addons,36,8,1.8,8050,3050,18200,0,Attach
2025-03,Pessimistic,SaaS_Subscriptions,110,27,5.5,8050,1850,17250,0,Soft
2025-03,Pessimistic,Implementation_Services,6,730,210,8050,1850,17250,0,Low
2025-03,Pessimistic,Support_Addons,18,8,1.8,8050,1850,17250,0,Attach
2025-04,Base,SaaS_Subscriptions,155,27,5.5,8050,2550,17700,800,Steady
2025-04,Base,Implementation_Services,10,745,215,8050,2550,17700,800,Impl.
2025-04,Base,Support_Addons,28,8,1.8,8050,2550,17700,800,Support
2025-04,Optimistic,SaaS_Subscriptions,190,27,5.5,8050,3200,18300,800,Upside
2025-04,Optimistic,Implementation_Services,13,745,215,8050,3200,18300,800,Extra
2025-04,Optimistic,Support_Addons,42,8,1.8,8050,3200,18300,800,Attach
2025-04,Pessimistic,SaaS_Subscriptions,120,27,5.5,8050,1950,17400,800,Soft
2025-04,Pessimistic,Implementation_Services,8,745,215,8050,1950,17400,800,Low
2025-04,Pessimistic,Support_Addons,21,8,1.8,8050,1950,17400,800,Attach
2025-05,Base,SaaS_Subscriptions,168,27,5.5,8200,2650,17850,0,Release
2025-05,Base,Implementation_Services,11,780,220,8200,2650,17850,0,Impl.
2025-05,Base,Support_Addons,30,8,1.8,8200,2650,17850,0,Support
2025-05,Optimistic,SaaS_Subscriptions,205,27,5.5,8200,3350,18450,0,Strong
2025-05,Optimistic,Implementation_Services,14,780,220,8200,3350,18450,0,Extra
2025-05,Optimistic,Support_Addons,46,8,1.8,8200,3350,18450,0,Attach
2025-05,Pessimistic,SaaS_Subscriptions,128,27,5.5,8200,2050,17550,0,Soft
2025-05,Pessimistic,Implementation_Services,9,780,220,8200,2050,17550,0,Low
2025-05,Pessimistic,Support_Addons,22,8,1.8,8200,2050,17550,0,Attach
2025-06,Base,SaaS_Subscriptions,180,27,5.5,8200,2750,17950,700,Summer
2025-06,Base,Implementation_Services,11,785,222,8200,2750,17950,700,Impl.
2025-06,Base,Support_Addons,32,8,1.8,8200,2750,17950,700,Support
2025-06,Optimistic,SaaS_Subscriptions,222,27,5.5,8200,3450,18550,700,Upside
2025-06,Optimistic,Implementation_Services,15,785,222,8200,3450,18550,700,Extra
2025-06,Optimistic,Support_Addons,49,8,1.8,8200,3450,18550,700,Attach
2025-06,Pessimistic,SaaS_Subscriptions,138,27,5.5,8200,2100,17650,700,Soft
2025-06,Pessimistic,Implementation_Services,9,785,222,8200,2100,17650,700,Low
2025-06,Pessimistic,Support_Addons,24,8,1.8,8200,2100,17650,700,Attach
2025-07,Base,SaaS_Subscriptions,192,27,5.5,8350,2900,18100,0,Steady
2025-07,Base,Implementation_Services,12,800,225,8350,2900,18100,0,Impl.
2025-07,Base,Support_Addons,34,8,1.8,8350,2900,18100,0,Support
2025-07,Optimistic,SaaS_Subscriptions,236,27,5.5,8350,3600,18650,0,Upside
2025-07,Optimistic,Implementation_Services,16,800,225,8350,3600,18650,0,Extra
2025-07,Optimistic,Support_Addons,53,8,1.8,8350,3600,18650,0,Attach
2025-07,Pessimistic,SaaS_Subscriptions,145,27,5.5,8350,2200,17750,0,Soft
2025-07,Pessimistic,Implementation_Services,10,800,225,8350,2200,17750,0,Low
2025-07,Pessimistic,Support_Addons,26,8,1.8,8350,2200,17750,0,Attach
2025-08,Base,SaaS_Subscriptions,200,27,5.5,8350,2950,18100,0,Steady
2025-08,Base,Implementation_Services,13,810,228,8350,2950,18100,0,Impl.
2025-08,Base,Support_Addons,36,8,1.8,8350,2950,18100,0,Support
2025-08,Optimistic,SaaS_Subscriptions,245,27,5.5,8350,3650,18700,0,Upside
2025-08,Optimistic,Implementation_Services,17,810,228,8350,3650,18700,0,Extra
2025-08,Optimistic,Support_Addons,56,8,1.8,8350,3650,18700,0,Attach
2025-08,Pessimistic,SaaS_Subscriptions,148,27,5.5,8350,2250,17800,0,Soft
2025-08,Pessimistic,Implementation_Services,11,810,228,8350,2250,17800,0,Low
2025-08,Pessimistic,Support_Addons,27,8,1.8,8350,2250,17800,0,Attach
2025-09,Base,SaaS_Subscriptions,210,27,5.5,8500,3000,18250,0,Seasonal
2025-09,Base,Implementation_Services,14,825,230,8500,3000,18250,0,Impl.
2025-09,Base,Support_Addons,38,8,1.8,8500,3000,18250,0,Support
2025-09,Optimistic,SaaS_Subscriptions,258,27,5.5,8500,3700,18800,0,Upside
2025-09,Optimistic,Implementation_Services,18,825,230,8500,3700,18800,0,Extra
2025-09,Optimistic,Support_Addons,58,8,1.8,8500,3700,18800,0,Attach
2025-09,Pessimistic,SaaS_Subscriptions,152,27,5.5,8500,2300,17900,0,Soft
2025-09,Pessimistic,Implementation_Services,11,825,230,8500,2300,17900,0,Low
2025-09,Pessimistic,Support_Addons,28,8,1.8,8500,2300,17900,0,Attach
2025-10,Base,SaaS_Subscriptions,220,27,5.5,8500,3100,18250,0,Pre‑holiday
2025-10,Base,Implementation_Services,14,830,232,8500,3100,18250,0,Impl.
2025-10,Base,Support_Addons,40,8,1.8,8500,3100,18250,0,Support
2025-10,Optimistic,SaaS_Subscriptions,270,27,5.5,8500,3800,18850,0,Upside
2025-10,Optimistic,Implementation_Services,19,830,232,8500,3800,18850,0,Extra
2025-10,Optimistic,Support_Addons,62,8,1.8,8500,3800,18850,0,Attach
2025-10,Pessimistic,SaaS_Subscriptions,160,27,5.5,8500,2350,18000,0,Soft
2025-10,Pessimistic,Implementation_Services,12,830,232,8500,2350,18000,0,Low
2025-10,Pessimistic,Support_Addons,30,8,1.8,8500,2350,18000,0,Attach
