date,scenario,stream,units,price,variable_cost_per_unit,fixed_cost,marketing_spend,payroll,capex,notes
2025-01,Base,SaaS_Subscriptions,110,30,6,8200,2400,17800,0,Baseline
2025-01,Base,Implementation_Services,7,770,225,8200,2400,17800,0,Onboarding
2025-01,Base,Support_Addons,23,10,2,8200,2400,17800,0,Support
2025-01,Optimistic,SaaS_Subscriptions,135,30,6,8200,3000,18300,0,Upside
2025-01,Optimistic,Implementation_Services,9,770,225,8200,3000,18300,0,Extra
2025-01,Optimistic,Support_Addons,30,10,2,8200,3000,18300,0,Attach up
2025-01,Pessimistic,SaaS_Subscriptions,90,30,6,8200,1700,17300,0,Slow
2025-01,Pessimistic,Implementation_Services,5,770,225,8200,1700,17300,0,Low
2025-01,Pessimistic,Support_Addons,16,10,2,8200,1700,17300,0,Attach low
2025-02,Base,SaaS_Subscriptions,125,30,6,8200,2500,18000,0,Steady
2025-02,Base,Implementation_Services,8,770,225,8200,2500,18000,0,Impl.
2025-02,Base,Support_Addons,26,10,2,8200,2500,18000,0,Support
2025-02,Optimistic,SaaS_Subscriptions,150,30,6,8200,3100,18550,0,Word of mouth
2025-02,Optimistic,Implementation_Services,11,770,225,8200,3100,18550,0,Extra
2025-02,Optimistic,Support_Addons,36,10,2,8200,3100,18550,0,Attach
2025-02,Pessimistic,SaaS_Subscriptions,100,30,6,8200,1850,17600,0,Churn
2025-02,Pessimistic,Implementation_Services,6,770,225,8200,1850,17600,0,Low
2025-02,Pessimistic,Support_Addons,19,10,2,8200,1850,17600,0,Attach dip
2025-03,Base,SaaS_Subscriptions,145,30,6,8400,2600,18250,0,Spring push
2025-03,Base,Implementation_Services,9,770,225,8400,2600,18250,0,Impl.
2025-03,Base,Support_Addons,28,10,2,8400,2600,18250,0,Support
2025-03,Optimistic,SaaS_Subscriptions,172,30,6,8400,3200,18750,0,Campaign
2025-03,Optimistic,Implementation_Services,12,770,225,8400,3200,18750,0,Extra
2025-03,Optimistic,Support_Addons,40,10,2,8400,3200,18750,0,Attach
2025-03,Pessimistic,SaaS_Subscriptions,112,30,6,8400,1900,17750,0,Soft
2025-03,Pessimistic,Implementation_Services,7,770,225,8400,1900,17750,0,Low
2025-03,Pessimistic,Support_Addons,20,10,2,8400,1900,17750,0,Attach low
2025-04,Base,SaaS_Subscriptions,158,30,6,8400,2650,18250,1200,Steady
2025-04,Base,Implementation_Services,10,780,228,8400,2650,18250,1200,Impl.
2025-04,Base,Support_Addons,31,10,2,8400,2650,18250,1200,Support
2025-04,Optimistic,SaaS_Subscriptions,188,30,6,8400,3300,18850,1200,Upside
2025-04,Optimistic,Implementation_Services,13,780,228,8400,3300,18850,1200,Extra
2025-04,Optimistic,Support_Addons,44,10,2,8400,3300,18850,1200,Attach
2025-04,Pessimistic,SaaS_Subscriptions,125,30,6,8400,1950,17850,1200,Soft
