date,sku,product,channel,price,competitor_price,units_sold,variable_cost_per_unit,fixed_cost_alloc,promo,notes
2024-01-05,S1,Starter Pack,online,33.80,31.80,59,17.90,490,false,Season kick‑off
2024-01-05,S2,Starter Pack,retail,34.80,32.80,47,18.40,490,false,Foot traffic
2024-01-05,S3,Pro Kit,online,48.80,46.80,41,25.90,490,false,
2024-01-05,S4,Pro Kit,retail,49.80,47.80,36,26.40,490,false,
2024-01-05,S5,Deluxe Bundle,online,61.80,59.80,28,32.90,490,false,
2024-01-05,S6,Deluxe Bundle,retail,62.80,60.80,24,33.40,490,false,
2024-01-05,S7,Starter Pack,wholesale,29.80,28.80,120,17.40,490,false,Bulk order
2024-01-05,S8,Pro Kit,wholesale,44.80,43.80,85,25.40,490,false,Bulk order
2024-01-05,S9,Deluxe Bundle,wholesale,57.80,56.80,65,32.40,490,false,Bulk order
2024-01-05,S10,Accessory Set,online,18.80,17.80,76,9.40,490,false,Attach item
2024-01-12,S1,Starter Pack,online,33.80,32.30,61,17.90,490,false,
2024-01-12,S2,Starter Pack,retail,34.80,33.30,48,18.40,490,false,
2024-01-12,S3,Pro Kit,online,48.80,47.30,42,25.90,490,false,
2024-01-12,S4,Pro Kit,retail,49.80,47.30,37,26.40,490,false,
2024-01-12,S5,Deluxe Bundle,online,61.80,60.30,29,32.90,490,false,
2024-01-12,S6,Deluxe Bundle,retail,62.80,60.30,25,33.40,490,false,
2024-01-12,S7,Starter Pack,wholesale,29.80,29.30,118,17.40,490,false,Bulk reorder
2024-01-12,S8,Pro Kit,wholesale,44.80,44.30,84,25.40,490,false,Bulk reorder
2024-01-12,S9,Deluxe Bundle,wholesale,57.80,57.30,64,32.40,490,false,Bulk reorder
2024-01-12,S10,Accessory Set,online,18.80,18.30,78,9.40,490,false,Attach up
2024-01-19,S1,Starter Pack,online,34.80,32.80,60,17.90,490,false,Minor test
2024-01-19,S2,Starter Pack,retail,35.80,33.80,46,18.40,490,false,
2024-01-19,S3,Pro Kit,online,49.80,46.80,40,25.90,490,false,
2024-01-19,S4,Pro Kit,retail,50.80,47.80,35,26.40,490,false,
2024-01-19,S5,Deluxe Bundle,online,62.80,59.80,27,32.90,490,false,
2024-01-19,S6,Deluxe Bundle,retail,63.80,60.80,23,33.40,490,false,
2024-01-19,S7,Starter Pack,wholesale,29.80,28.80,121,17.40,490,false,
2024-01-19,S8,Pro Kit,wholesale,44.80,43.80,83,25.40,490,false,
2024-01-19,S9,Deluxe Bundle,wholesale,57.80,56.80,66,32.40,490,false,
2024-01-19,S10,Accessory Set,online,18.80,17.80,80,9.40,490,false,
2024-01-26,S1,Starter Pack,online,34.80,33.05,58,17.90,490,false,
2024-01-26,S2,Starter Pack,retail,35.80,34.05,45,18.40,490,false,
2024-01-26,S3,Pro Kit,online,49.80,47.05,39,25.90,490,false,
2024-01-26,S4,Pro Kit,retail,50.80,48.05,34,26.40,490,false,
2024-01-26,S5,Deluxe Bundle,online,62.80,60.05,26,32.90,490,false,
2024-01-26,S6,Deluxe Bundle,retail,63.80,61.05,22,33.40,490,false,
2024-01-26,S7,Starter Pack,wholesale,29.80,29.05,119,17.40,490,false,
2024-01-26,S8,Pro Kit,wholesale,44.80,44.05,82,25.40,490,false,
2024-01-26,S9,Deluxe Bundle,wholesale,57.80,57.05,65,32.40,490,false,
2024-01-26,S10,Accessory Set,online,18.80,18.05,77,9.40,490,false,
2024-02-02,S1,Starter Pack,online,33.80,32.80,63,17.90,490,false,Revert
2024-02-02,S2,Starter Pack,retail,34.80,33.80,47,18.40,490,false,
2024-02-02,S3,Pro Kit,online,48.80,46.80,42,25.90,490,false,
2024-02-02,S4,Pro Kit,retail,49.80,47.80,36,26.40,490,false,
2024-02-02,S5,Deluxe Bundle,online,61.80,59.80,29,32.90,490,false,
2024-02-02,S6,Deluxe Bundle,retail,62.80,60.80,24,33.40,490,false,
2024-02-02,S7,Starter Pack,wholesale,29.80,28.80,123,17.40,490,false,
2024-02-02,S8,Pro Kit,wholesale,44.80,43.80,87,25.40,490,false,
2024-02-02,S9,Deluxe Bundle,wholesale,57.80,56.80,68,32.40,490,false,
2024-02-02,S10,Accessory Set,online,18.80,17.80,82,9.40,490,false,
2024-02-09,S1,Starter Pack,online,33.80,32.55,64,17.90,490,false,
2024-02-09,S2,Starter Pack,retail,34.80,33.55,49,18.40,490,false,
2024-02-09,S3,Pro Kit,online,48.80,47.05,44,25.90,490,false,
2024-02-09,S4,Pro Kit,retail,49.80,48.05,38,26.40,490,false,
2024-02-09,S5,Deluxe Bundle,online,61.80,60.05,30,32.90,490,false,
2024-02-09,S6,Deluxe Bundle,retail,62.80,61.05,25,33.40,490,false,
2024-02-09,S7,Starter Pack,wholesale,29.80,29.05,120,17.40,490,false,
2024-02-09,S8,Pro Kit,wholesale,44.80,44.05,86,25.40,490,false,
2024-02-09,S9,Deluxe Bundle,wholesale,57.80,57.05,67,32.40,490,false,
