date,sku,movement,qty,unit_cost,notes
2025-01-02,LPT-13,purchase,15,650,Laptop batch A
2025-01-05,MON-27,purchase,20,140,Monitors
2025-01-07,CAB-08,purchase,50,12,Cables
2025-01-10,LPT-13,sale,4,0,Client install package
2025-01-12,MON-27,sale,6,0,Bundle with laptops
2025-01-15,LPT-13,purchase,10,640,Laptop batch B
2025-01-16,CAB-08,sale,12,0,Accessories sold
2025-01-18,SSD-01,purchase,30,95,SSD inventory
2025-01-20,LPT-13,sale,5,0,Service project
2025-01-22,MON-27,purchase,15,145,Monitor restock
2025-01-25,SSD-01,sale,10,0,Upgrades
2025-01-28,CAB-08,purchase,60,11.5,Restock
2025-01-30,LPT-13,sale,6,0,Client rollout
2025-02-01,MON-27,sale,8,0,Conference setup
2025-02-03,LPT-13,purchase,20,635,Batch C
2025-02-04,SSD-01,purchase,20,97,Restock
2025-02-05,CAB-08,sale,18,0,Accessories sold
2025-02-06,MON-27,purchase,25,142,Vendor promo
2025-02-08,LPT-13,sale,7,0,Install project
2025-02-10,SSD-01,sale,12,0,Upgrades
2025-02-12,CAB-08,purchase,40,11.8,Restock
2025-02-13,MON-27,sale,9,0,Office refresh
2025-02-15,LPT-13,purchase,10,630,Batch D
2025-02-16,LPT-13,sale,8,0,Client order
2025-02-18,SSD-01,purchase,25,96.5,Restock
2025-02-20,CAB-08,sale,22,0,Accessories sold
2025-02-22,MON-27,purchase,12,146,Small restock
2025-02-24,LPT-13,sale,6,0,Client install
2025-02-26,SSD-01,sale,9,0,Upgrades
2025-03-01,LPT-13,purchase,18,628,Batch E
2025-03-02,MON-27,purchase,20,141,Monitor restock
2025-03-03,CAB-08,purchase,70,11.4,Bulk order
2025-03-04,SSD-01,purchase,30,95.8,Promo
2025-03-06,LPT-13,sale,10,0,Client rollout
2025-03-07,MON-27,sale,7,0,Training room
2025-03-08,SSD-01,sale,14,0,Upgrades
2025-03-10,CAB-08,sale,25,0,Accessories sold
2025-03-12,LPT-13,sale,9,0,New hire kits
2025-03-14,MON-27,purchase,18,144,Vendor change
2025-03-16,SSD-01,purchase,20,96.2,Restock
2025-03-18,CAB-08,purchase,50,11.6,Restock
2025-03-20,LPT-13,purchase,12,626,Batch F
2025-03-21,MON-27,sale,11,0,Office expansion
2025-03-22,SSD-01,sale,10,0,Upgrades
2025-03-24,CAB-08,sale,28,0,Accessories sold
2025-03-26,LPT-13,sale,8,0,Client order
2025-03-28,MON-27,purchase,10,147,Small restock
2025-04-01,LPT-13,purchase,20,624,Batch G
2025-04-02,SSD-01,purchase,35,95.5,Restock
2025-04-03,CAB-08,purchase,60,11.3,Restock
2025-04-04,MON-27,sale,10,0,Conference kits
2025-04-06,LPT-13,sale,12,0,Client rollout
2025-04-08,SSD-01,sale,16,0,Upgrades
2025-04-10,CAB-08,sale,30,0,Accessories sold
2025-04-12,MON-27,purchase,22,143,Monitor restock
2025-04-14,LPT-13,sale,9,0,Service project
2025-04-16,SSD-01,purchase,25,96.0,Vendor change
2025-04-18,CAB-08,purchase,80,11.2,Bulk order
2025-04-20,MON-27,sale,12,0,Training lab
2025-04-22,LPT-13,purchase,15,622,Batch H
2025-04-24,SSD-01,sale,18,0,Upgrades
2025-04-26,CAB-08,sale,35,0,Accessories sold
2025-04-28,MON-27,purchase,18,145,Restock
2025-04-30,LPT-13,sale,10,0,New hire kits
2025-05-02,SSD-01,purchase,30,95.2,Restock
2025-05-03,CAB-08,purchase,50,11.1,Restock
2025-05-04,MON-27,sale,9,0,Client staging
2025-05-06,LPT-13,purchase,18,620,Batch I
2025-05-08,SSD-01,sale,20,0,Upgrades
2025-05-10,CAB-08,sale,32,0,Accessories sold
2025-05-12,MON-27,purchase,16,146,Vendor change
2025-05-14,LPT-13,sale,11,0,Client rollout
2025-05-16,SSD-01,purchase,28,95.0,Restock
2025-05-18,CAB-08,purchase,60,11.0,Bulk order
2025-05-20,MON-27,sale,10,0,Office refresh
2025-05-22,LPT-13,sale,9,0,Service project
2025-05-24,SSD-01,sale,15,0,Upgrades
2025-05-26,CAB-08,sale,36,0,Accessories sold
2025-05-28,MON-27,purchase,20,144,Restock
2025-06-01,LPT-13,purchase,20,619,Batch J
2025-06-03,SSD-01,purchase,25,94.8,Restock
2025-06-04,CAB-08,purchase,70,10.9,Restock
2025-06-05,MON-27,sale,12,0,Training room
2025-06-06,LPT-13,sale,13,0,Client rollout
2025-06-08,SSD-01,sale,18,0,Upgrades
2025-06-10,CAB-08,sale,38,0,Accessories sold
2025-06-12,MON-27,purchase,15,145,Small restock
2025-06-14,LPT-13,sale,10,0,New hire kits
2025-06-16,SSD-01,purchase,30,94.6,Vendor promo
2025-06-18,CAB-08,purchase,50,10.8,Restock
2025-06-20,MON-27,sale,11,0,Client staging
2025-06-22,LPT-13,purchase,12,618,Batch K
2025-06-24,SSD-01,sale,17,0,Upgrades
2025-06-26,CAB-08,sale,40,0,Accessories sold
2025-06-28,MON-27,purchase,18,143,Restock
2025-06-30,LPT-13,sale,12,0,Quarter close orders

