date,sku,movement,qty,unit_cost,notes
2025-01-02,LPT-16,purchase,16,651,Laptop batch A4
2025-01-05,MON-31,purchase,20,140,Monitors
2025-01-06,CAB-14,purchase,58,12.3,Cables
2025-01-08,SSD-04,purchase,26,97.5,SSD inventory
2025-01-10,LPT-16,sale,5,0,Client setup
2025-01-12,MON-31,sale,6,0,Bundle sale
2025-01-14,CAB-14,sale,16,0,Accessories sold
2025-01-16,LPT-16,purchase,12,643,Batch B4
2025-01-18,SSD-04,sale,9,0,Upgrades
2025-01-20,MON-31,purchase,18,141,Restock
2025-01-22,LPT-16,sale,5,0,Service project
2025-01-24,CAB-14,purchase,62,12.0,Restock
2025-01-26,SSD-04,purchase,24,97.1,Restock
2025-01-28,MON-31,sale,7,0,Office refresh
2025-01-30,LPT-16,sale,6,0,New hires
2025-02-02,LPT-16,purchase,18,640,Batch C4
2025-02-04,SSD-04,sale,12,0,Upgrades
2025-02-05,CAB-14,sale,22,0,Accessories sold
2025-02-06,MON-31,purchase,22,142,Vendor promo
2025-02-08,LPT-16,sale,8,0,Install project
2025-02-10,SSD-04,purchase,26,96.8,Restock
2025-02-12,CAB-14,purchase,54,11.8,Restock
2025-02-13,MON-31,sale,9,0,Training room
2025-02-15,LPT-16,purchase,12,639,Batch D4
2025-02-16,LPT-16,sale,8,0,Client order
2025-02-18,SSD-04,sale,13,0,Upgrades
2025-02-20,CAB-14,sale,24,0,Accessories sold
2025-02-22,MON-31,purchase,12,146,Small restock
2025-02-24,LPT-16,sale,6,0,Client install
2025-02-26,SSD-04,purchase,24,96.5,Promo
2025-03-01,LPT-16,purchase,18,637,Batch E4
2025-03-02,MON-31,purchase,20,141,Monitor restock
2025-03-03,CAB-14,purchase,64,11.6,Bulk order
2025-03-04,SSD-04,sale,14,0,Upgrades
2025-03-06,LPT-16,sale,10,0,Client rollout
2025-03-08,MON-31,sale,8,0,Training room
2025-03-09,SSD-04,purchase,26,96.2,Restock
2025-03-10,CAB-14,sale,26,0,Accessories sold
2025-03-12,LPT-16,sale,9,0,New hire kits
2025-03-14,MON-31,purchase,18,144,Vendor change
2025-03-16,SSD-04,sale,11,0,Upgrades
2025-03-18,CAB-14,purchase,56,11.6,Restock
2025-03-20,LPT-16,purchase,12,636,Batch F4
2025-03-21,MON-31,sale,10,0,Office expansion
2025-03-22,SSD-04,purchase,24,96.0,Restock
2025-03-24,CAB-14,sale,28,0,Accessories sold
2025-03-26,LPT-16,sale,8,0,Client order
2025-03-28,MON-31,purchase,14,147,Small restock
2025-04-01,LPT-16,purchase,18,633,Batch G4
2025-04-02,SSD-04,purchase,28,95.7,Restock
2025-04-03,CAB-14,purchase,60,11.3,Restock
2025-04-04,MON-31,sale,10,0,Conference kits
2025-04-06,LPT-16,sale,11,0,Client rollout
2025-04-08,SSD-04,sale,16,0,Upgrades
2025-04-10,CAB-14,sale,30,0,Accessories sold
2025-04-12,MON-31,purchase,20,143,Monitor restock
2025-04-14,LPT-16,sale,9,0,Service project
2025-04-16,SSD-04,purchase,26,96.1,Vendor
2025-04-18,CAB-14,purchase,70,11.2,Bulk order
2025-04-20,MON-31,sale,12,0,Training lab
2025-04-22,LPT-16,purchase,12,632,Batch H4
2025-04-24,SSD-04,sale,18,0,Upgrades
2025-04-26,CAB-14,sale,32,0,Accessories sold
2025-04-28,MON-31,purchase,18,145,Restock
2025-04-30,LPT-16,sale,10,0,New hire kits
2025-05-02,SSD-04,purchase,26,95.4,Restock
2025-05-03,CAB-14,purchase,52,11.1,Restock
2025-05-04,MON-31,sale,9,0,Client staging
2025-05-06,LPT-16,purchase,16,629,Batch I4
2025-05-08,SSD-04,sale,18,0,Upgrades
2025-05-10,CAB-14,sale,32,0,Accessories sold
2025-05-12,MON-31,purchase,16,146,Vendor change
2025-05-14,LPT-16,sale,10,0,Client rollout
2025-05-16,SSD-04,purchase,28,95.1,Restock
2025-05-18,CAB-14,purchase,58,11.0,Bulk order
2025-05-20,MON-31,sale,10,0,Office refresh
2025-05-22,LPT-16,sale,9,0,Service project
2025-05-24,SSD-04,sale,15,0,Upgrades
2025-05-26,CAB-14,sale,34,0,Accessories sold
2025-05-28,MON-31,purchase,20,144,Restock
2025-06-01,LPT-16,purchase,18,628,Batch J4
2025-06-03,SSD-04,purchase,24,94.9,Restock
2025-06-04,CAB-14,purchase,65,10.9,Restock
2025-06-05,MON-31,sale,12,0,Training room
2025-06-06,LPT-16,sale,12,0,Client rollout
2025-06-08,SSD-04,sale,17,0,Upgrades
2025-06-10,CAB-14,sale,36,0,Accessories sold
2025-06-12,MON-31,purchase,16,145,Small restock
2025-06-14,LPT-16,sale,10,0,New hire kits
2025-06-16,SSD-04,purchase,28,94.7,Vendor promo
2025-06-18,CAB-14,purchase,48,10.8,Restock
2025-06-20,MON-31,sale,11,0,Client staging
2025-06-22,LPT-16,purchase,12,627,Batch K4
2025-06-24,SSD-04,sale,16,0,Upgrades
2025-06-26,CAB-14,sale,38,0,Accessories sold
2025-06-28,MON-31,purchase,18,143,Restock
2025-06-30,LPT-16,sale,12,0,Quarter close orders

