date,hour,category,item,qty,unit_price,weather,event,notes
2024-09-07,08,beverage,drip_coffee,30,2.55,clear,None,steady open
2024-09-07,08,beverage,latte,17,4.10,clear,None,
2024-09-07,08,pastry,croissant,13,2.80,clear,None,
2024-09-07,08,pastry,blueberry_muffin,11,2.55,clear,None,
2024-09-07,08,beverage,iced_coffee,8,3.10,clear,None,
2024-09-07,09,beverage,drip_coffee,35,2.55,clear,None,peak
2024-09-07,09,beverage,latte,21,4.10,clear,None,
2024-09-07,09,beverage,cappuccino,10,3.85,clear,None,
2024-09-07,09,pastry,croissant,15,2.80,clear,None,
2024-09-07,09,pastry,chocolate_chip_cookie,9,2.05,clear,None,
2024-09-07,10,beverage,drip_coffee,27,2.55,clear,None,
2024-09-07,10,beverage,latte,19,4.10,clear,None,
2024-09-07,10,beverage,chai_latte,8,3.60,clear,None,
2024-09-07,10,pastry,banana_bread,8,2.80,clear,None,
2024-09-07,10,pastry,croissant,11,2.80,clear,None,
2024-09-07,11,beverage,iced_coffee,15,3.10,clear,None,
2024-09-07,11,beverage,drip_coffee,21,2.55,clear,None,
2024-09-07,11,food,breakfast_burrito,8,5.60,clear,None,
2024-09-07,11,food,ham_panini,6,6.60,clear,None,
2024-09-07,11,pastry,brownie,6,2.30,clear,None,
2024-09-07,12,food,veggie_panini,9,6.35,clear,None,lunch start
2024-09-07,12,food,grilled_cheese,7,5.85,clear,None,
2024-09-07,12,beverage,latte,14,4.10,clear,None,
2024-09-07,12,beverage,iced_tea,10,2.80,clear,None,
2024-09-07,12,pastry,chocolate_chip_cookie,8,2.05,clear,None,
2024-09-07,13,food,ham_panini,9,6.60,clear,None,lunch peak
2024-09-07,13,food,veggie_panini,10,6.35,clear,None,
2024-09-07,13,beverage,iced_coffee,17,3.10,clear,None,
2024-09-07,13,beverage,lemonade,9,3.10,clear,None,
2024-09-07,13,pastry,brownie,7,2.30,clear,None,
2024-09-07,14,food,grilled_cheese,8,5.85,clear,None,
2024-09-07,14,food,caesar_salad,6,6.85,clear,None,
2024-09-07,14,beverage,iced_tea,12,2.80,clear,None,
2024-09-07,14,beverage,latte,12,4.10,clear,None,
2024-09-07,14,pastry,blueberry_muffin,6,2.55,clear,None,
2024-09-07,15,beverage,drip_coffee,15,2.55,clear,None,late afternoon
2024-09-07,15,beverage,iced_coffee,12,3.10,clear,None,
2024-09-07,15,beverage,chai_latte,6,3.60,clear,None,
2024-09-07,15,pastry,croissant,5,2.80,clear,None,
2024-09-07,15,food,grilled_cheese,5,5.85,clear,None,
2024-09-08,08,beverage,drip_coffee,25,2.55,cloudy,None,slower open
2024-09-08,08,beverage,latte,15,4.10,cloudy,None,
2024-09-08,08,pastry,croissant,11,2.80,cloudy,None,
2024-09-08,08,pastry,blueberry_muffin,9,2.55,cloudy,None,
2024-09-08,08,beverage,iced_coffee,7,3.10,cloudy,None,
2024-09-08,09,beverage,drip_coffee,29,2.55,cloudy,None,
2024-09-08,09,beverage,latte,17,4.10,cloudy,None,
2024-09-08,09,beverage,cappuccino,9,3.85,cloudy,None,
2024-09-08,09,pastry,croissant,12,2.80,cloudy,None,
2024-09-08,09,pastry,chocolate_chip_cookie,8,2.05,cloudy,None,
2024-09-08,10,beverage,drip_coffee,23,2.55,cloudy,None,
2024-09-08,10,beverage,latte,16,4.10,cloudy,None,
2024-09-08,10,beverage,chai_latte,6,3.60,cloudy,None,
2024-09-08,10,pastry,banana_bread,7,2.80,cloudy,None,
2024-09-08,10,pastry,croissant,9,2.80,cloudy,None,
2024-09-08,11,food,breakfast_burrito,7,5.60,cloudy,None,
2024-09-08,11,beverage,iced_coffee,10,3.10,cloudy,None,
2024-09-08,11,beverage,drip_coffee,19,2.55,cloudy,None,
2024-09-08,11,food,ham_panini,5,6.60,cloudy,None,
2024-09-08,11,pastry,brownie,6,2.30,cloudy,None,
2024-09-08,12,food,veggie_panini,7,6.35,cloudy,None,lunch start
2024-09-08,12,food,grilled_cheese,6,5.85,cloudy,None,
2024-09-08,12,beverage,iced_tea,9,2.80,cloudy,None,
2024-09-08,12,beverage,latte,12,4.10,cloudy,None,
2024-09-08,12,pastry,chocolate_chip_cookie,6,2.05,cloudy,None,
2024-09-08,13,food,ham_panini,7,6.60,cloudy,None,lunch modest
2024-09-08,13,food,veggie_panini,8,6.35,cloudy,None,
2024-09-08,13,beverage,iced_coffee,12,3.10,cloudy,None,
2024-09-08,13,beverage,lemonade,7,3.10,cloudy,None,
2024-09-08,13,pastry,brownie,5,2.30,cloudy,None,
2024-09-08,14,food,grilled_cheese,6,5.85,cloudy,None,
2024-09-08,14,food,caesar_salad,5,6.85,cloudy,None,
2024-09-08,14,beverage,iced_tea,9,2.80,cloudy,None,
2024-09-08,14,beverage,latte,9,4.10,cloudy,None,
2024-09-08,14,pastry,blueberry_muffin,4,2.55,cloudy,None,
2024-09-08,15,beverage,drip_coffee,12,2.55,cloudy,None,closeout
2024-09-08,15,beverage,iced_coffee,9,3.10,cloudy,None,
2024-09-08,15,beverage,chai_latte,5,3.60,cloudy,None,
2024-09-08,15,pastry,croissant,4,2.80,cloudy,None,low waste
2024-09-08,15,food,grilled_cheese,4,5.85,cloudy,None,
